"","zipcode","date","hour_of_day","policy_active","traffic_index","cars_requested","cars_available","mean_price","std_price","zipcode_type","major_city","post_office_city","common_city_list","county","state","lat","lng","timezone","radius_in_miles","area_code_list","population","population_density","land_area_in_sqmi","water_area_in_sqmi","housing_units","occupied_housing_units","median_home_value","median_household_income","bounds_west","bounds_east","bounds_north","bounds_south"
"11","96122",2023-02-17,10,1,25.0246600364876,15,32,39.2004774352202,5.34231106827068,"Standard","Portola","Portola, CA",<raw>,"Plumas County","CA",39.8,-120.4,"Pacific",13,<raw>,3883,63,61.32,0.01,2321,1651,182500,40313,-120.572141,-120.372303,39.892906,39.753403
"12","95241",2023-12-17,3,1,50.4395458663854,21,30,45.5055591912444,6.34148015678232,"PO Box","Lodi",NA,<raw>,"San Joaquin County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","94296",2023-06-03,18,0,50.7201363259872,25,25,44.5747913826913,2.96854635697201,"PO Box","Sacramento",NA,<raw>,"Sacramento County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","96097",2023-11-21,13,1,55.8257432401787,15,43,42.792200445087,6.08971405456032,"Standard","Yreka","Yreka, CA",<raw>,"Siskiyou County","CA",41.8,-122.7,"Pacific",20,<raw>,10031,53,190.72,0.4,4815,4415,191600,29443,-122.839176,-122.535227,41.935351,41.541287
"15","93305",2023-10-28,21,1,87.3923082250759,17,28,57.3963432812203,5.07900118060569,"Standard","Bakersfield","Bakersfield, CA",<raw>,"Kern County","CA",35.39,-118.99,"Pacific",2,<raw>,37601,6336,5.93,0,11964,10713,108100,31179,-119.008013,-118.967421,35.42572,35.368427
"16","93276",2023-06-28,18,1,74.2624634215077,20,34,48.8588867558903,5.52874855693872,"PO Box","Tupman","Tupman, CA",<raw>,"Kern County","CA",35.29,-119.38,"Pacific",2,<raw>,161,235,0.69,0,73,55,66300,46250,-119.379846,-119.341528,35.311458,35.289471
"17","92663",2023-10-15,18,1,40.536799445901,22,31,45.9520699172016,2.67224630742502,"Standard","Newport Beach","Newport Beach, CA",<raw>,"Orange County","CA",33.62,-117.93,"Pacific",2,<raw>,21649,6557,3.3,1.29,12233,10355,1000001,83550,-117.960457,-117.90269,33.647838,33.601759
"18","91706",2023-02-20,1,1,74.6754520101691,17,33,58.5322764455921,6.62876886872454,"Standard","Baldwin Park","Baldwin Park, CA",<raw>,"Los Angeles County","CA",34.09,-117.97,"Pacific",3,<raw>,76571,5699,13.44,0.86,18067,17504,285500,51232,-118.008054,-117.9253,34.132554,34.059795
"19","92066",2023-01-08,20,1,49.6839400865753,28,33,64.8642605290137,4.1199623390786,"Standard","Ranchita","Ranchita, CA",<raw>,"San Diego County","CA",33.3,-116.3,"Pacific",18,<raw>,378,19,19.84,0,211,168,300000,37143,-116.617436,-116.491512,33.25278,33.167489
"20","92507",2023-09-18,12,0,35.6070422922125,20,35,56.5137043396724,1.65942896551886,"Standard","Riverside","Riverside, CA",<raw>,"Riverside County","CA",33.97,-117.33,"Pacific",5,<raw>,58002,2870,20.21,0.01,19834,17992,232800,39465,-117.377615,-117.278802,34.019426,33.918273
"21","91946",2023-06-14,8,0,78.7317522644453,23,37,51.8724235697107,4.80877850629897,"PO Box","Lemon Grove",NA,<raw>,"San Diego County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","93644",2023-06-27,21,0,57.1492901597615,15,23,54.9932804228693,7.34833074976757,"Standard","Oakhurst","Oakhurst, CA",<raw>,"Madera County","CA",37.4,-119.6,"Pacific",10,<raw>,8637,93,92.76,0.01,4431,3668,253900,43376,-119.761681,-119.501486,37.496842,37.28168
"23","93064",2023-03-26,22,1,29.8112451852004,14,29,34.6763132458668,5.07148961832498,"Unique","Brandeis","Brandeis, CA",<raw>,"Ventura County","CA",34.29,-118.69,"Pacific",6,<raw>,40,7,5.67,0,18,12,NA,NA,-118.727068,-118.670133,34.264521,34.226449
"24","90263",2023-08-23,4,1,48.4324924812733,21,50,41.6918696247049,6.79801897079606,"Standard","Malibu","Malibu, CA",<raw>,"Los Angeles County","CA",34.037,-118.706,"Pacific",0.284090909090909,<raw>,1612,7135,0.23,0,0,0,NA,NA,-118.713383,-118.701769,34.044412,34.034219
"25","92697",2023-03-06,20,1,44.7723858398628,27,27,41.8120953352738,5.77347170653391,"Unique","Irvine",NA,<raw>,"Orange County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","92198",2023-03-23,2,0,46.3280635549853,24,26,44.7286425331601,5.42395535430771,"PO Box","San Diego",NA,<raw>,"San Diego County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","95066",2023-11-13,21,1,49.468288350993,34,34,57.3996842982958,5.38028651151155,"Standard","Scotts Valley","Scotts Valley, CA",<raw>,"Santa Cruz County","CA",37.07,-122.01,"Pacific",4,<raw>,14749,778,18.95,0,5975,5643,629700,106519,-122.062103,-121.953385,37.119551,37.010924
"28","91031",2023-05-01,17,1,86.4628417290089,25,30,71.051253321683,3.85494178384321,"PO Box","South Pasadena",NA,<raw>,"Los Angeles County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","94720",2023-05-14,12,0,47.6974060652834,22,27,45.6305406027387,4.76231673630178,"Unique","Berkeley","Berkeley, CA",<raw>,"Alameda County","CA",37.87,-122.26,"Pacific",0.738636363636364,<raw>,2964,4761,0.62,0,105,100,NA,23304,-122.266367,-122.244865,37.881363,37.865429
"30","90808",2023-05-03,7,0,29.468034192009,16,31,43.660010916274,7.15858822343001,"Standard","Long Beach","Long Beach, CA",<raw>,"Los Angeles County","CA",33.83,-118.11,"Pacific",3,<raw>,38232,5568,6.87,0.1,14567,14167,497300,94335,-118.15411,-118.063162,33.847078,33.809915
"31","90079",2023-11-14,16,1,44.1621070988978,17,26,45.8123568905429,7.78134122303732,"Standard","Los Angeles","Los Angeles, CA",<raw>,"Los Angeles County","CA",34.053,-118.245,"Pacific",0.113636363636364,<raw>,0,NA,0,0,0,0,NA,NA,-118.256716,-118.254093,34.041599,34.039571
"32","95680",2023-05-22,2,1,33.1032408957847,23,45,51.4638426525288,4.84344068005833,"PO Box","Ryde","Ryde, CA",<raw>,"Sacramento County","CA",38.2,-121.6,"Pacific",8,<raw>,146,73,2.01,0.05,48,46,NA,NA,-121.603208,-121.558485,38.248197,38.230105
"33","91102",2023-12-08,6,1,41.8741168851178,22,22,76.1318748193105,3.35658470151681,"PO Box","Pasadena",NA,<raw>,"Los Angeles County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","92508",2023-08-21,11,0,56.3354991081532,25,33,53.8608309278295,1.34029839331665,"Standard","Riverside","Riverside, CA",<raw>,"Riverside County","CA",33.89,-117.33,"Pacific",3,<raw>,35000,3262,10.73,0,10351,9945,319100,100243,-117.358356,-117.283516,33.928237,33.851527
"35","93380",2023-10-23,17,1,52.1023486729654,23,26,53.4692943566661,5.89735927621117,"PO Box","Bakersfield",NA,<raw>,"Kern County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","91912",2023-05-07,11,1,29.5258905423529,25,39,51.2542935995146,4.53460067771907,"PO Box","Chula Vista",NA,<raw>,"San Diego County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","90270",2023-11-09,8,0,53.2501685701369,23,26,34.8613380481962,4.3045893811681,"Standard","Maywood","Maywood, CA",<raw>,"Los Angeles County","CA",33.99,-118.19,"Pacific",1,<raw>,27372,21694,1.26,0.03,6761,6554,268100,37082,-118.204661,-118.162556,33.99667,33.97951
"38","93212",2023-03-07,5,1,52.9330005158753,26,35,52.8156150879793,5.97237756072997,"Standard","Corcoran","Corcoran, CA",<raw>,"Kings County","CA",36,-119.5,"Pacific",10,<raw>,26079,246,106.08,0,4355,3974,124700,33756,-119.644355,-119.375459,36.188553,35.920192
"39","92607",2023-02-05,21,0,73.4085458031835,19,32,42.2532678144536,5.34448330011417,"PO Box","Laguna Niguel",NA,<raw>,"Orange County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","95425",2023-04-13,0,1,66.8665100034952,23,27,40.4492728320452,3.24608921596987,"Standard","Cloverdale","Cloverdale, CA",<raw>,"Sonoma County","CA",38.8,-123,"Pacific",14,<raw>,10841,53,205.71,5.9,4544,4100,352800,57379,-123.272657,-122.712682,38.937132,38.712316
"41","94607",2023-06-23,1,1,56.8614457075895,28,32,71.5115336608991,5.43917018149328,"Standard","Oakland","Oakland, CA",<raw>,"Alameda County","CA",37.81,-122.3,"Pacific",3,<raw>,24978,4235,5.9,1.18,12086,10429,341100,32856,-122.346681,-122.258738,37.82809,37.788028
"42","93403",2023-09-10,7,1,28.4419007619127,21,28,47.918136242442,7.72113442665434,"PO Box","San Luis Obispo",NA,<raw>,"San Luis Obispo County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","92025",2023-09-08,2,0,29.9946457677854,17,29,50.3556564344947,4.4634169569009,"Standard","Escondido","Escondido, CA",<raw>,"San Diego County","CA",33.09,-117.06,"Pacific",3,<raw>,49978,2268,22.04,0.45,15781,14902,404000,45983,-117.104917,-116.905723,33.136083,33.043089
"44","91734",2023-05-15,14,1,53.5745943264609,19,29,46.5912187644626,4.43364291567249,"PO Box","El Monte",NA,<raw>,"Los Angeles County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","91786",2023-02-06,19,1,57.9272823711501,19,29,42.2662765303175,3.93482649107259,"Standard","Upland","Upland, CA",<raw>,"San Bernardino County","CA",34.1,-117.66,"Pacific",3,<raw>,51165,5715,8.95,0,19394,18087,330100,51805,-117.704595,-117.623451,34.12298,34.08695
"46","95551",2023-08-26,16,1,43.9550153769437,20,28,41.2109648797199,3.91399447132222,"Standard","Loleta","Loleta, CA",<raw>,"Humboldt County","CA",40.69,-124.22,"Pacific",7,<raw>,1739,41,42.57,10.33,732,680,258800,45417,-124.316413,-124.120604,40.769515,40.61448
"47","93140",2023-02-03,13,0,58.6320758897734,27,37,50.3500583784111,6.67149174866113,"PO Box","Santa Barbara",NA,<raw>,"Santa Barbara County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","91932",2023-08-15,0,1,44.0574037744135,20,24,58.4245405869177,4.71340854140539,"Standard","Imperial Beach","Imperial Beach, CA",<raw>,"San Diego County","CA",32.57,-117.12,"Pacific",1,<raw>,25718,10232,2.51,0.57,9883,9113,340900,49268,-117.135263,-117.101352,32.591298,32.534156
"49","94044",2023-12-18,15,1,68.2789318383029,15,38,56.4985858565586,2.22790862736065,"Standard","Pacifica","Pacifica, CA",<raw>,"San Mateo County","CA",37.63,-122.49,"Pacific",5,<raw>,37296,2543,14.67,0,14550,13989,610400,94453,-122.520852,-122.443422,37.666998,37.562138
"50","92595",2023-03-24,8,0,48.5113701649288,13,37,42.3367206926627,4.90975850994347,"Standard","Wildomar","Wildomar, CA",<raw>,"Riverside County","CA",33.62,-117.26,"Pacific",4,<raw>,29851,1418,21.06,0,10020,9308,224100,62507,-117.308165,-117.206326,33.656163,33.583494
"51","95618",2023-04-21,17,1,67.5266387823759,21,31,43.972399924056,4.25211949927927,"Standard","Davis","Davis, CA",<raw>,"Yolo County","CA",38.6,-121.7,"Pacific",8,<raw>,27281,781,34.93,0.1,10257,9882,555700,82313,-121.771767,-121.582502,38.589937,38.494925
"52","93628",2023-04-04,1,0,73.4873528163912,28,31,40.8500480921719,4.21853569850367,"Standard","Hume","Hume, CA",<raw>,"Fresno County","CA",37.2,-118.7,"Pacific",37,<raw>,327,9,35.88,0.13,403,132,NA,58977,-118.985944,-118.854995,36.836127,36.740895
"53","94274",2023-07-20,10,1,43.3467511069872,27,27,49.3062537216157,4.67267823202189,"PO Box","Sacramento",NA,<raw>,"Sacramento County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","92008",2023-07-15,5,1,67.8335590705473,23,27,49.9292485041955,7.24527580595686,"Standard","Carlsbad","Carlsbad, CA",<raw>,"San Diego County","CA",33.13,-117.31,"Pacific",4,<raw>,27649,2682,10.31,1.5,12799,11600,615200,63449,-117.360624,-117.266764,33.181191,33.086974
"55","91411",2023-07-14,14,1,63.5125249938419,18,25,52.6990619904262,3.12781948219466,"Standard","Van Nuys","Van Nuys, CA",<raw>,"Los Angeles County","CA",34.18,-118.46,"Pacific",1,<raw>,24628,12059,2.04,0,9788,9177,456400,44570,-118.474104,-118.4487,34.193918,34.164823
"56","92239",2023-07-07,19,1,39.9899216914243,17,24,34.4716208564307,4.04988277628386,"PO Box","Desert Center","Desert Center, CA",<raw>,"Riverside County","CA",33.76,-115.43,"Pacific",5,<raw>,223,2,143.37,0.01,171,95,92500,27031,-115.656842,-115.297649,33.864787,33.668447
"57","94553",2023-03-24,23,1,38.8416791621673,26,26,36.8845275834286,5.19994440622939,"Standard","Martinez","Martinez, CA",<raw>,"Contra Costa County","CA",38,-122.1,"Pacific",8,<raw>,47065,962,48.94,2.58,19581,18607,379100,75672,-122.252417,-122.029182,38.062137,37.925778
"58","95650",2023-09-10,18,1,56.1370006083786,28,30,48.6289578614315,4.26988482099711,"Standard","Loomis","Loomis, CA",<raw>,"Placer County","CA",38.82,-121.18,"Pacific",5,<raw>,12447,505,24.67,0.18,4792,4551,407300,79743,-121.242152,-121.101429,38.864661,38.766967
"59","90405",2023-11-23,10,1,51.8272614496169,23,34,49.104668296844,4.48048339099609,"Standard","Santa Monica","Santa Monica, CA",<raw>,"Los Angeles County","CA",34.01,-118.47,"Pacific",2,<raw>,27186,10272,2.65,0.18,15370,14376,1000001,75717,-118.4952,-118.443517,34.027961,33.993572
"60","95129",2023-01-03,14,1,47.4371209083057,19,26,67.0166332156127,5.23707260486913,"Standard","San Jose","San Jose, CA",<raw>,"Santa Clara County","CA",37.31,-122,"Pacific",2,<raw>,38720,8581,4.51,0,14517,14011,862100,104705,-122.035237,-121.96836,37.32312,37.289476
"61","92899",2023-06-01,8,0,67.6522669792769,18,32,63.797875750152,5.25293066166828,"Standard","Anaheim",NA,<raw>,"Orange County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","91941",2023-02-12,14,1,67.5875208645535,19,30,61.6564190558377,7.39626192937389,"Standard","La Mesa","La Mesa, CA",<raw>,"San Diego County","CA",32.76,-116.99,"Pacific",4,<raw>,31779,3942,8.06,0.01,12856,12327,489200,69678,-117.051277,-116.944869,32.779425,32.739217
"63","92382",2023-08-23,4,1,66.2181784461745,25,45,44.8846613584928,5.17573665197075,"PO Box","Running Springs","Running Springs, CA",<raw>,"San Bernardino County","CA",34.215,-117.119,"Pacific",0.454545454545455,<raw>,5268,349,15.08,0.01,4037,2105,212700,57090,-117.158398,-117.068239,34.257469,34.169397
"64","95117",2023-03-18,9,1,68.2734346479238,14,23,55.7767609765702,5.05741139362201,"Standard","San Jose","San Jose, CA",<raw>,"Santa Clara County","CA",37.31,-121.97,"Pacific",1,<raw>,30067,11693,2.57,0,11263,10863,623800,63465,-121.981734,-121.94991,37.329937,37.29431
"65","91129",2023-07-12,23,1,58.7490293787594,24,34,60.7456629965597,5.67006490541977,"Unique","Pasadena",NA,<raw>,"Los Angeles County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","96015",2023-11-13,14,1,43.0504900711429,21,34,36.9116905304678,4.58192159302108,"Standard","Canby","Canby, CA",<raw>,"Modoc County","CA",41.6,-121,"Pacific",29,<raw>,465,2,241.98,8.58,156,125,155300,23167,-121.18424,-120.702251,41.765227,41.335747
"67","94303",2023-04-11,9,1,64.71091752869,19,30,49.7916069895312,4.13117012089795,"Standard","Palo Alto","Palo Alto, CA",<raw>,"San Mateo County","CA",37.45,-122.12,"Pacific",4,<raw>,45467,5710,7.96,0.73,14551,13238,958800,80127,-122.156522,-122.085199,37.484191,37.41552
"68","95977",2023-04-09,0,1,30.3692250053762,17,38,54.5390181599732,4.45130371582813,"Standard","Smartsville","Smartsville, CA",<raw>,"Nevada County","CA",39.17,-121.32,"Pacific",6,<raw>,1678,43,39.13,0.22,704,637,243900,50820,-121.375681,-121.217633,39.241975,39.098596
"69","92345",2023-12-05,19,0,53.6839106785319,21,22,42.7740638156631,2.88921644819747,"Standard","Hesperia","Hesperia, CA",<raw>,"San Bernardino County","CA",34.4,-117.3,"Pacific",10,<raw>,78715,960,82.02,0.23,25758,23542,145200,42421,-117.416086,-117.233729,34.471359,34.272549
"70","95344",2023-05-31,14,1,48.3509390069167,17,34,55.8269013728601,6.32856224508956,"PO Box","Merced",NA,<raw>,"Merced County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","95966",2023-02-14,20,1,72.713698881224,16,32,41.5340531811541,4.25555938222807,"Standard","Oroville","Oroville, CA",<raw>,"Butte County","CA",39.5,-121.4,"Pacific",19,<raw>,30643,166,184.06,8.76,13148,11789,158300,42555,-121.569302,-121.225635,39.615931,39.304938
"72","91804",2023-02-22,16,0,17.4017137373441,20,34,49.7257275826721,3.84268426082847,"Standard","Alhambra",NA,<raw>,"Los Angeles County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","95011",2023-04-27,23,0,94.758639709114,20,38,34.2088994742489,2.25468241566314,"PO Box","Campbell",NA,<raw>,"Santa Clara County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","91117",2023-12-07,10,1,53.2034408503885,34,34,46.2541067758615,4.13013673138536,"PO Box","Pasadena",NA,<raw>,"Los Angeles County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","95451",2023-08-01,17,0,49.3014493672343,22,37,46.2173177132766,6.12202433452693,"Standard","Kelseyville","Kelseyville, CA",<raw>,"Lake County","CA",38.9,-122.8,"Pacific",8,<raw>,11213,117,96.18,5.4,5911,4463,230300,47603,-122.950047,-122.682787,39.026888,38.846056
"76","90209",2023-10-15,4,1,36.6662675978143,26,32,65.6791129790503,4.64389400985622,"PO Box","Beverly Hills",NA,<raw>,"Los Angeles County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","90660",2023-07-03,18,0,59.9431592953608,18,25,55.5495554971435,4.06715600607557,"Standard","Pico Rivera","Pico Rivera, CA",<raw>,"Los Angeles County","CA",33.99,-118.08,"Pacific",4,<raw>,62928,8120,7.75,0.49,17106,16564,330000,57605,-118.121307,-118.05458,34.021917,33.950362
"78","91353",2023-05-07,10,0,67.229998171825,25,31,40.1228101292839,8.25481532649927,"PO Box","Sun Valley",NA,<raw>,"Los Angeles County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","94163",2023-12-26,0,1,45.2341539119233,21,28,46.1465729205152,2.90312029636277,"Unique","San Francisco",NA,<raw>,"San Francisco County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","92010",2023-07-25,18,1,57.3893776584696,15,25,42.7930561044211,3.70164944946478,"Standard","Carlsbad","Carlsbad, CA",<raw>,"San Diego County","CA",33.16,-117.28,"Pacific",3,<raw>,14382,1780,8.08,0.14,5711,5460,484200,90417,-117.32694,-117.231258,33.182818,33.128775
"81","90311",2023-06-01,23,1,75.9414826793137,18,24,53.0145763069893,9.39272623456964,"Standard","Inglewood",NA,<raw>,"Los Angeles County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","96069",2023-08-29,8,0,66.3305956715904,13,27,59.1185371276782,2.26999033841133,"Standard","Oak Run","Oak Run, CA",<raw>,"Shasta County","CA",40.7,-122,"Pacific",17,<raw>,982,11,88.61,0.15,502,412,200000,35813,-122.178332,-121.82094,40.769273,40.563872
"83","95132",2023-03-25,9,0,71.2013282283365,23,36,50.1763452355487,3.92252913097619,"Standard","San Jose","San Jose, CA",<raw>,"Santa Clara County","CA",37.43,-121.8,"Pacific",6,<raw>,40299,791,50.97,2.03,11899,11613,568000,95198,-121.889121,-121.668405,37.48433,37.358546
"84","95428",2023-10-08,18,1,36.5330854262058,21,28,63.5438240368826,1.81973682045676,"Standard","Covelo","Covelo, CA",<raw>,"Mendocino County","CA",39.7,-123.1,"Pacific",21,<raw>,2516,11,225.19,0.67,1160,974,223200,27339,-123.401718,-122.911906,39.977497,39.667911
"85","95633",2023-05-06,8,1,72.1916424684662,25,25,68.2341568935651,2.64505732478806,"Standard","Garden Valley","Garden Valley, CA",<raw>,"El Dorado County","CA",38.9,-120.8,"Pacific",7,<raw>,3349,81,41.23,0.04,1515,1339,266100,65603,-120.907987,-120.743131,38.907994,38.797721
"86","91482",2023-09-22,17,1,42.390103542431,17,32,26.9693785841043,6.00732091626073,"Unique","Van Nuys",NA,<raw>,"Los Angeles County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","90506",2023-12-08,12,1,36.9814183110334,22,28,38.2997102287242,6.57453104172615,"Standard","Torrance","Torrance, CA",<raw>,"Los Angeles County","CA",33.885,-118.331,"Pacific",0.284090909090909,<raw>,0,NA,0,0,0,0,NA,NA,-118.334906,-118.326488,33.88743,33.881368
"88","92260",2023-02-01,22,1,40.596962012381,26,30,49.2983745284819,6.7074300096956,"Standard","Palm Desert","Palm Desert, CA",<raw>,"Riverside County","CA",33.71,-116.41,"Pacific",5,<raw>,31753,1118,28.4,0.15,22799,15037,297500,49446,-116.460663,-116.353285,33.79131,33.642009
"89","90397",2023-10-16,9,1,48.0348954977167,22,30,49.3329441574078,3.48370067278184,"Unique","Inglewood",NA,<raw>,"Los Angeles County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","90712",2023-12-26,14,0,54.9611090082141,19,32,62.325898429076,6.95357259629474,"Standard","Lakewood","Lakewood, CA",<raw>,"Los Angeles County","CA",33.84,-118.15,"Pacific",2,<raw>,31499,7349,4.29,0.02,11155,10794,409500,77495,-118.167704,-118.125047,33.869035,33.820047
"91","92572",2023-04-24,9,1,60.3199488138102,16,33,46.5345243014677,7.90131392493276,"PO Box","Perris",NA,<raw>,"Riverside County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","90209",2023-07-11,3,1,59.543409679736,27,30,56.6857589906195,5.87034444289139,"PO Box","Beverly Hills",NA,<raw>,"Los Angeles County","CA",NA,NA,NA,NA,<raw>,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","93446",2023-02-25,19,1,51.0088931754247,19,32,46.6677338056621,7.6037340095204,"Standard","Paso Robles","Paso Robles, CA",<raw>,"San Luis Obispo County","CA",35.6,-120.9,"Pacific",34,<raw>,43714,105,417.06,7.04,18374,16255,355600,62529,-121.185056,-120.336914,35.794161,35.522787
"94","95942",2023-12-14,14,1,40.5844928117396,28,28,31.9133568814415,6.9259531353499,"Standard","Forest Ranch","Forest Ranch, CA",<raw>,"Butte County","CA",40,-121.5,"Pacific",15,<raw>,1301,23,55.9,0.02,965,583,307000,41323,-121.709004,-121.376692,40.122366,39.827422
"95","96075",2023-01-20,13,1,62.8691276935153,28,30,53.5589283118209,1.60926004229923,"Standard","Paynes Creek","Paynes Creek, CA",<raw>,"Tehama County","CA",40.3,-121.8,"Pacific",14,<raw>,369,5,68.79,0.07,207,136,88800,19306,-122.0475,-121.630934,40.446955,40.268136
"96","90040",2023-12-23,16,0,49.1524053944982,18,38,52.3439931290851,3.62038217989561,"Standard","Los Angeles","Los Angeles, CA",<raw>,"Los Angeles County","CA",33.99,-118.15,"Pacific",2,<raw>,12520,2243,5.58,0,3397,3317,326100,47758,-118.183649,-118.121307,34.017399,33.970934
